date,product,product_original,unit_of_measurement,unit_of_measurement_original,min_crc,max_crc,mode_crc,avg_crc,min_dollars,max_dollars,mode_dollars,avg_dollars
2019-08-15,Large Keitt Manga (Mango),Manga grande Keitt,Plastic box (17.5 kg),Caja plástica (17.5 kg),4000.0,5000.0,5000.0,4800.0,6.666666666666667,8.333333333333334,8.333333333333334,8.0
2019-08-15,Tommy Large Manga (Mango),Manga grande Tommy,Plastic box (17.5 kg),Caja plástica (17.5 kg),5000.0,5000.0,5000.0,5000.0,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334
2019-08-15,Blackberry Small Manga (Mango),Manga pequeña Mora,Plastic box (17.5 kg),Caja plástica (17.5 kg),6000.0,6500.0,6000.0,6100.0,10.0,10.833333333333334,10.0,10.166666666666666
2019-08-15,Cantaloupe Melon,Melón Cantaloupe,Kilo,Kilo,600.0,650.0,650.0,630.0,1.0,1.0833333333333333,1.0833333333333333,1.05
2019-08-15,Yam Root,Ñampí,Kilo,Kilo,800.0,1000.0,1000.0,937.5,1.3333333333333333,1.6666666666666667,1.6666666666666667,1.5625
2019-08-15,Sweet Orange,Naranja dulce,Unit,Unidad,50.0,60.0,60.0,58.13,0.08333333333333333,0.1,0.1,0.09688333333333334
2019-08-15,Yellow Potato,Papa amarilla,Mesh (45 kg),Malla (45 kg),36000.0,40000.0,38000.0,38000.0,60.0,66.66666666666667,63.333333333333336,63.333333333333336
2019-08-15,White Potato,Papa blanca,Mesh (45 kg),Malla (45 kg),38000.0,40000.0,40000.0,39454.55,63.333333333333336,66.66666666666667,66.66666666666667,65.75758333333334
2019-08-15,Creole Papaya,Papaya criolla,Kilo,Kilo,350.0,400.0,400.0,383.33,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.6388833333333334
2019-08-15,Hybrid Papaya,Papaya híbrida,Kilo,Kilo,300.0,350.0,350.0,335.0,0.5,0.5833333333333334,0.5833333333333334,0.5583333333333333
2019-08-15,Peach Palm Fruit,Pejibaye,Kilo,Kilo,800.0,1200.0,1000.0,1014.29,1.3333333333333333,2.0,1.6666666666666667,1.6904833333333333
2019-08-15,Cucumber,Pepino,Kilo,Kilo,200.0,300.0,250.0,261.54,0.3333333333333333,0.5,0.4166666666666667,0.4359
2019-08-15,Pineapple (Large),Piña - grande,Unit,Unidad,700.0,800.0,700.0,722.22,1.1666666666666667,1.3333333333333333,1.1666666666666667,1.2037
2019-08-15,Pineapple (Medium),Piña - mediana,Unit,Unidad,550.0,650.0,600.0,600.0,0.9166666666666666,1.0833333333333333,1.0,1.0
2019-08-15,Pineapple (small),Piña - pequeña,Unit,Unidad,350.0,500.0,400.0,412.5,0.5833333333333334,0.8333333333333334,0.6666666666666666,0.6875
2019-08-15,Ripe Plantain,Plátano maduro,Unit,Unidad,150.0,180.0,170.0,165.59,0.25,0.3,0.2833333333333333,0.27598333333333336
2019-08-15,Green Plantain,Plátano verde,Unit,Unidad,150.0,180.0,170.0,165.31,0.25,0.3,0.2833333333333333,0.2755166666666667
2019-08-15,Beet,Remolacha,Unit,Unidad,150.0,200.0,200.0,186.67,0.25,0.3333333333333333,0.3333333333333333,0.31111666666666665
2019-08-15,Purple Cabbage,Repollo morado,Kilo,Kilo,500.0,600.0,600.0,580.0,0.8333333333333334,1.0,1.0,0.9666666666666667
2019-08-15,Green Cabbage,Repollo verde,Kilo,Kilo,250.0,270.0,250.0,253.33,0.4166666666666667,0.45,0.4166666666666667,0.4222166666666667
2019-08-15,Field watermelon (Large),Sandía de campo - grande,Kilo,Kilo,350.0,450.0,450.0,425.0,0.5833333333333334,0.75,0.75,0.7083333333333334
2019-08-15,Field watermelon (Medium),Sandía de campo - mediana,Kilo,Kilo,250.0,300.0,300.0,287.5,0.4166666666666667,0.5,0.5,0.4791666666666667
2019-08-15,Taro,Tiquisque,Kilo,Kilo,1500.0,1600.0,1500.0,1546.15,2.5,2.6666666666666665,2.5,2.576916666666667
2019-08-15,Tomato (Premium),Tomate primera,Plastic box (18 kg),Caja plástica (18 kg),13000.0,14000.0,13000.0,13250.0,21.666666666666668,23.333333333333332,21.666666666666668,22.083333333333332
2019-08-15,Tomato (Regular),Tomate segunda,Plastic box (18 kg),Caja plástica (18 kg),10000.0,13000.0,12000.0,11875.0,16.666666666666668,21.666666666666668,20.0,19.791666666666668
2019-08-15,Tomato (Small),Tomate tercera,Plastic box (18 kg),Caja plástica (18 kg),9000.0,10000.0,10000.0,9666.67,15.0,16.666666666666668,16.666666666666668,16.111116666666668
2019-08-15,Green Beans,Vainica,Kilo,Kilo,400.0,600.0,500.0,493.33,0.6666666666666666,1.0,0.8333333333333334,0.8222166666666666
2019-08-15,Yucca / Casava,Yuca parafinada,Kilo,Kilo,380.0,500.0,400.0,427.06,0.6333333333333333,0.8333333333333334,0.6666666666666666,0.7117666666666667
2019-08-15,Carrot (Premium),Zanahoria primera,Mesh (45 kg),Malla (45 kg),16000.0,18000.0,17000.0,17000.0,26.666666666666668,30.0,28.333333333333332,28.333333333333332
2019-08-20,Hall Avocado,Aguacate criollo,Unit,Unidad,500.0,1000.0,800.0,690.91,0.8333333333333334,1.6666666666666667,1.3333333333333333,1.1515166666666665
2019-08-20,Garlic (from China),Ajo de China,Box (10 kg),Caja (10 kg),14000.0,16000.0,15000.0,15000.0,23.333333333333332,26.666666666666668,25.0,25.0
2019-08-20,Green celery,Apio verde (mata),Plant,Mata,1500.0,1700.0,1700.0,1637.5,2.5,2.8333333333333335,2.8333333333333335,2.7291666666666665
2019-08-20,Kabocha Squash / Pumpkin,Ayote sazón,Kilo,Kilo,300.0,400.0,350.0,338.89,0.5,0.6666666666666666,0.5833333333333334,0.5648166666666666
2019-08-20,Banana (Export),Banano de exportación,Box,Caja,5500.0,6000.0,6000.0,5833.33,9.166666666666666,10.0,10.0,9.722216666666666
